17.07.2023 12:50:17: Voltage:0,91;MaxVoltage:9,92;MinVoltage:0,07;Ampere:3;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:19: Voltage:1,74;MaxVoltage:9,92;MinVoltage:0,07;Ampere:5,3;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:21: Voltage:2,88;MaxVoltage:9,92;MinVoltage:0,07;Ampere:8,57;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:23: Voltage:4,03;MaxVoltage:9,92;MinVoltage:0,07;Ampere:11,76;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:25: Voltage:5,32;MaxVoltage:9,92;MinVoltage:0,07;Ampere:15,17;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:27: Voltage:6,61;MaxVoltage:9,92;MinVoltage:0,07;Ampere:18,49;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:29: Voltage:7,86;MaxVoltage:9,92;MinVoltage:0,07;Ampere:21,41;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:31: Voltage:8,79;MaxVoltage:9,92;MinVoltage:0,07;Ampere:23,83;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:33: Voltage:9,41;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,41;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:35: Voltage:9,87;MaxVoltage:9,92;MinVoltage:0,07;Ampere:26,12;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:37: Voltage:9,87;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,64;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:39: Voltage:9,53;MaxVoltage:9,92;MinVoltage:0,07;Ampere:24,38;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:41: Voltage:8,87;MaxVoltage:9,92;MinVoltage:0,07;Ampere:22,47;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:43: Voltage:7,8;MaxVoltage:9,92;MinVoltage:0,07;Ampere:19,74;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:45: Voltage:6,71;MaxVoltage:9,92;MinVoltage:0,07;Ampere:16,84;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:47: Voltage:5,41;MaxVoltage:9,92;MinVoltage:0,07;Ampere:13,23;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:49: Voltage:4,22;MaxVoltage:9,92;MinVoltage:0,07;Ampere:10,03;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:51: Voltage:2,95;MaxVoltage:9,92;MinVoltage:0,07;Ampere:6,52;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:53: Voltage:1,87;MaxVoltage:9,92;MinVoltage:0,07;Ampere:3,91;MaxAmpere:26,18;MinAmpere:0,19
