11.07.2023 11:44:10: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:12: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:14: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:16: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:18: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:20: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:22: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:24: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:26: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:28: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:30: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:32: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:34: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:36: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:38: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:40: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:42: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:44: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:46: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:48: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:50: Voltage:3,02;MaxVoltage:3,03;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:52: Voltage:3,02;MaxVoltage:3,03;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:54: Voltage:0,01;MaxVoltage:3,03;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:56: Voltage:0;MaxVoltage:3,03;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:58: Voltage:0;MaxVoltage:3,03;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:45:00: Voltage:0;MaxVoltage:3,03;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:45:02: Voltage:0;MaxVoltage:3,03;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:45:04: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:45:06: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:45:08: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:45:10: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:45:12: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:45:14: Voltage:0,01;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0,02;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:16: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:18: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0,1;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:20: Voltage:0,01;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0,01;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:22: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:24: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:26: Voltage:0,01;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:28: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:30: Voltage:0,01;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0,01;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:32: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:34: Voltage:0,02;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0,01;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:37: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:39: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:41: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:43: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0,01;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:45: Voltage:0,01;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:47: Voltage:0,01;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0,01;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:49: Voltage:0,01;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:51: Voltage:0,01;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0,01;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:53: Voltage:0;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0;MaxTemperature:3,65;MinTemperature:0
11.07.2023 11:45:55: Voltage:0,01;MaxVoltage:3,62;MinVoltage:0;Ampere:0;MaxAmpere:0,1;MinAmpere:0;Temperature:0,01;MaxTemperature:3,65;MinTemperature:0
